lon,lat,faa_topex
123.1083,-0.0082,-160.2
123.125,-0.0082,-164.2
123.1417,-0.0082,-167.4
123.1583,-0.0082,-169.5
123.175,-0.0082,-170.7
123.1917,-0.0082,-171.7
123.2083,-0.0082,-172.6
123.225,-0.0082,-173.2
123.2417,-0.0082,-173.3
123.2583,-0.0082,-173.2
123.275,-0.0082,-173.3
123.2917,-0.0082,-173.8
123.3083,-0.0082,-173.6
123.325,-0.0082,-172.3
123.3417,-0.0082,-170.9
123.3583,-0.0082,-170.2
123.375,-0.0082,-169.3
123.3917,-0.0082,-167.6
123.4083,-0.0082,-165.8
123.425,-0.0082,-165
123.4417,-0.0082,-164.9
123.4583,-0.0082,-164.6
123.475,-0.0082,-163.8
123.4917,-0.0082,-162.6
123.5083,-0.0082,-161.4
123.525,-0.0082,-159.9
123.5417,-0.0082,-157.3
123.5583,-0.0082,-153.4
123.575,-0.0082,-149.1
123.5917,-0.0082,-145.8
123.6083,-0.0082,-143.5
123.625,-0.0082,-141.6
123.6417,-0.0082,-139.7
123.6583,-0.0082,-137.8
123.675,-0.0082,-136.5
123.6917,-0.0082,-136.2
123.7083,-0.0082,-135.9
123.725,-0.0082,-134.9
123.7417,-0.0082,-132.6
123.7583,-0.0082,-129.5
123.775,-0.0082,-126.4
123.7917,-0.0082,-124.2
123.8083,-0.0082,-122.9
123.825,-0.0082,-122.2
123.8417,-0.0082,-121.9
123.8583,-0.0082,-121.7
123.875,-0.0082,-120.8
123.8917,-0.0082,-118.8
123.9083,-0.0082,-116.4
123.925,-0.0082,-114.3
123.9417,-0.0082,-112.3
123.9583,-0.0082,-110.4
123.975,-0.0082,-108.7
123.9917,-0.0082,-107.7
124.0083,-0.0082,-106.8
120.0083,-0.0249,73.7
120.025,-0.0249,73.6
120.0417,-0.0249,73.4
120.0583,-0.0249,73.6
120.075,-0.0249,73.9
120.0917,-0.0249,74.2
120.1083,-0.0249,73.5
120.125,-0.0249,71.6
120.1417,-0.0249,67.9
120.1583,-0.0249,61.4
120.175,-0.0249,52.5
120.1917,-0.0249,42.7
120.2083,-0.0249,32.7
120.225,-0.0249,23.6
120.2417,-0.0249,16.1
120.2583,-0.0249,11.4
120.275,-0.0249,9.7
120.2917,-0.0249,9.7
120.3083,-0.0249,8.8
120.325,-0.0249,5.6
120.3417,-0.0249,1.4
120.3583,-0.0249,-1.6
120.375,-0.0249,-3.2
120.3917,-0.0249,-4
120.4083,-0.0249,-4.3
120.425,-0.0249,-3.9
120.4417,-0.0249,-3.7
120.4583,-0.0249,-3.7
120.475,-0.0249,-3
120.4917,-0.0249,-1.2
120.5083,-0.0249,0.6
120.525,-0.0249,1.2
120.5417,-0.0249,0.8
120.5583,-0.0249,0.7
120.575,-0.0249,0.7
120.5917,-0.0249,0.4
120.6083,-0.0249,-0.3
120.625,-0.0249,-1.3
120.6417,-0.0249,-2.1
120.6583,-0.0249,-2.6
120.675,-0.0249,-2.8
120.6917,-0.0249,-3
120.7083,-0.0249,-3.6
120.725,-0.0249,-4.8
120.7417,-0.0249,-6.7
120.7583,-0.0249,-9.5
120.775,-0.0249,-13
120.7917,-0.0249,-16.6
120.8083,-0.0249,-19.7
120.825,-0.0249,-21.8
120.8417,-0.0249,-23
120.8583,-0.0249,-23.3
120.875,-0.0249,-22.9
120.8917,-0.0249,-21.7
120.9083,-0.0249,-20.7
120.925,-0.0249,-20.3
120.9417,-0.0249,-20.4
120.9583,-0.0249,-20.4
120.975,-0.0249,-20.1
120.9917,-0.0249,-19.3
121.0083,-0.0249,-17.9
121.025,-0.0249,-16.3
121.0417,-0.0249,-15.1
121.0583,-0.0249,-14.8
121.075,-0.0249,-14.6
121.0917,-0.0249,-13.6
121.1083,-0.0249,-11.8
121.125,-0.0249,-9.9
121.1417,-0.0249,-8.3
121.1583,-0.0249,-7.3
121.175,-0.0249,-6.5
121.1917,-0.0249,-5.6
121.2083,-0.0249,-4.3
121.225,-0.0249,-2.7
121.2417,-0.0249,-1
121.2583,-0.0249,0.5
121.275,-0.0249,2.2
121.2917,-0.0249,4.1
121.3083,-0.0249,6.3
121.325,-0.0249,8.2
121.3417,-0.0249,9.5
121.3583,-0.0249,10
121.375,-0.0249,9.8
121.3917,-0.0249,9.3
121.4083,-0.0249,9.4
121.425,-0.0249,10.2
121.4417,-0.0249,11.1
121.4583,-0.0249,11.4
121.475,-0.0249,11.6
121.4917,-0.0249,12.4
121.5083,-0.0249,14.6
121.525,-0.0249,18
121.5417,-0.0249,21.5
121.5583,-0.0249,24.2
121.575,-0.0249,25.7
121.5917,-0.0249,26.6
121.6083,-0.0249,26.7
121.625,-0.0249,26.5
121.6417,-0.0249,26.7
121.6583,-0.0249,28.1
121.675,-0.0249,30.4
121.6917,-0.0249,32.5
121.7083,-0.0249,33.4
121.725,-0.0249,32.8
121.7417,-0.0249,30.7
121.7583,-0.0249,27.5
121.775,-0.0249,23.3
121.7917,-0.0249,19.3
121.8083,-0.0249,16.6
121.825,-0.0249,16
121.8417,-0.0249,16.6
121.8583,-0.0249,17.2
121.875,-0.0249,17.9
121.8917,-0.0249,18.9
121.9083,-0.0249,19.8
121.925,-0.0249,20.1
121.9417,-0.0249,20.1
121.9583,-0.0249,20.5
121.975,-0.0249,21.5
121.9917,-0.0249,22.7
122.0083,-0.0249,23.2
122.025,-0.0249,22.4
122.0417,-0.0249,21.2
122.0583,-0.0249,20.4
122.075,-0.0249,19.9
122.0917,-0.0249,19.2
122.1083,-0.0249,17.8
122.125,-0.0249,15.6
122.1417,-0.0249,12.4
122.1583,-0.0249,8.2
122.175,-0.0249,3.2
122.1917,-0.0249,-2.8
122.2083,-0.0249,-9.3
122.225,-0.0249,-15.9
122.2417,-0.0249,-21.2
122.2583,-0.0249,-24.6
122.275,-0.0249,-26.9
122.2917,-0.0249,-29.2
122.3083,-0.0249,-32.2
122.325,-0.0249,-36.1
122.3417,-0.0249,-40.6
122.3583,-0.0249,-45.2
122.375,-0.0249,-49.8
122.3917,-0.0249,-54.2
122.4083,-0.0249,-58.2
122.425,-0.0249,-62.2
122.4417,-0.0249,-66.2
122.4583,-0.0249,-70
122.475,-0.0249,-73.4
122.4917,-0.0249,-76.5
122.5083,-0.0249,-80.1
122.525,-0.0249,-84.5
122.5417,-0.0249,-89.3
122.5583,-0.0249,-93.8
122.575,-0.0249,-98.1
